,location,date,CanSino,Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sinovac,Sputnik V
0,Austria,2021-01-08,,0.0,0.0,0.0,31099.0,,,
1,Austria,2021-01-15,,0.0,87.0,0.0,115801.0,,,
2,Austria,2021-01-22,,0.0,304.0,1.0,212899.0,,,
3,Austria,2021-01-29,,0.0,4225.0,2.0,257621.0,,,
4,Austria,2021-02-05,,0.0,5922.0,6.0,353111.0,,,
5,Austria,2021-02-12,,0.0,10009.0,10766.0,454563.0,,,
6,Austria,2021-02-19,,0.0,14132.0,43472.0,520127.0,,,
7,Austria,2021-02-26,,0.0,22495.0,101160.0,581222.0,,,
8,Austria,2021-03-05,,0.0,31795.0,155994.0,685651.0,,,
9,Austria,2021-03-12,,0.0,47139.0,234638.0,848297.0,,,
10,Austria,2021-03-19,,18.0,78908.0,307848.0,980824.0,,,
11,Austria,2021-03-26,,32.0,104255.0,383177.0,1127139.0,,,
12,Austria,2021-04-02,,55.0,140582.0,421729.0,1275205.0,,,
13,Austria,2021-04-09,,99.0,180087.0,512110.0,1496385.0,,,
14,Austria,2021-04-16,,109.0,222572.0,607999.0,1730058.0,,,
15,Austria,2021-04-23,,114.0,259859.0,656941.0,1993639.0,,,
16,Austria,2021-04-30,,381.0,298802.0,699374.0,2267104.0,,,
17,Austria,2021-05-07,,6509.0,348094.0,762359.0,2597491.0,,,
18,Austria,2021-05-14,,13507.0,397993.0,826519.0,2896941.0,,,
19,Austria,2021-05-21,,25803.0,465986.0,904299.0,3274753.0,,,
20,Austria,2021-05-28,,37967.0,519579.0,987190.0,3610163.0,,,
21,Austria,2021-06-04,,58260.0,574990.0,1055842.0,4035688.0,,,
22,Austria,2021-06-11,,79937.0,637992.0,1151265.0,4474462.0,,,
23,Austria,2021-06-18,,94893.0,687637.0,1203754.0,4929409.0,,,
24,Austria,2021-06-25,,103454.0,743413.0,1277766.0,5374506.0,,,
25,Austria,2021-07-02,,128892.0,803487.0,1385677.0,5765676.0,,,
26,Austria,2021-07-09,,152963.0,853888.0,1453630.0,6092727.0,,,
27,Austria,2021-07-16,,172227.0,898380.0,1505392.0,6364751.0,,,
28,Austria,2021-07-23,,188745.0,944860.0,1535225.0,6612672.0,,,
29,Austria,2021-07-30,,200788.0,963749.0,1561869.0,6822203.0,,,
30,Austria,2021-08-06,,215893.0,981526.0,1577413.0,6998746.0,,,
31,Austria,2021-08-13,,226125.0,990952.0,1583366.0,7122891.0,,,
32,Austria,2021-08-20,,239445.0,1004904.0,1586724.0,7215247.0,,,
33,Austria,2021-08-27,,253071.0,1008540.0,1588984.0,7272810.0,,,
34,Austria,2021-09-03,,265809.0,1013268.0,1591349.0,7321020.0,,,
35,Austria,2021-09-10,,279596.0,1016094.0,1592819.0,7370465.0,,,
36,Austria,2021-09-17,,290763.0,1019963.0,1594154.0,7428881.0,,,
37,Austria,2021-09-24,,304150.0,1022148.0,1595602.0,7481747.0,,,
38,Austria,2021-09-28,,308770.0,1023178.0,1596245.0,7513162.0,,,
39,Belgium,2021-01-08,,0.0,0.0,0.0,28032.0,,,
40,Belgium,2021-01-15,,0.0,37.0,0.0,126887.0,,,
41,Belgium,2021-01-22,,0.0,4500.0,0.0,244657.0,,,
42,Belgium,2021-01-29,,0.0,6193.0,0.0,334334.0,,,
43,Belgium,2021-02-05,,0.0,15947.0,0.0,463411.0,,,
44,Belgium,2021-02-12,,0.0,25531.0,359.0,598937.0,,,
45,Belgium,2021-02-19,,0.0,30326.0,10768.0,699581.0,,,
46,Belgium,2021-02-26,,0.0,32790.0,45316.0,788203.0,,,
47,Belgium,2021-03-05,,0.0,51618.0,110077.0,877249.0,,,
48,Belgium,2021-03-12,,0.0,67532.0,191223.0,973684.0,,,
49,Belgium,2021-03-19,,0.0,89998.0,351029.0,1084065.0,,,
50,Belgium,2021-03-26,,0.0,100320.0,461689.0,1280697.0,,,
51,Belgium,2021-04-02,,0.0,128110.0,521677.0,1539358.0,,,
52,Belgium,2021-04-09,,0.0,175336.0,601371.0,1857471.0,,,
53,Belgium,2021-04-16,,0.0,209940.0,782274.0,2134821.0,,,
54,Belgium,2021-04-23,,0.0,261302.0,839191.0,2451892.0,,,
55,Belgium,2021-04-30,,3014.0,288342.0,904677.0,2807754.0,,,
56,Belgium,2021-05-07,,23902.0,346199.0,1007438.0,3359854.0,,,
57,Belgium,2021-05-14,,29643.0,400717.0,1100468.0,3811418.0,,,
58,Belgium,2021-05-21,,50139.0,502552.0,1367357.0,4180464.0,,,
59,Belgium,2021-05-28,,73903.0,576889.0,1467260.0,4622458.0,,,
60,Belgium,2021-06-04,,97700.0,653160.0,1570622.0,5321219.0,,,
61,Belgium,2021-06-11,,143948.0,739476.0,1757614.0,6074732.0,,,
62,Belgium,2021-06-18,,213338.0,845764.0,1892524.0,6787753.0,,,
63,Belgium,2021-06-25,,244304.0,958353.0,1961712.0,7447798.0,,,
64,Belgium,2021-07-02,,267765.0,1041877.0,2061576.0,7916876.0,,,
65,Belgium,2021-07-09,,282825.0,1103436.0,2288667.0,8450865.0,,,
66,Belgium,2021-07-16,,300876.0,1158145.0,2443078.0,8958577.0,,,
67,Belgium,2021-07-23,,311477.0,1211664.0,2549325.0,9510558.0,,,
68,Belgium,2021-07-30,,320696.0,1242595.0,2640711.0,10019538.0,,,
69,Belgium,2021-08-06,,329784.0,1266031.0,2701284.0,10377701.0,,,
70,Belgium,2021-08-13,,337040.0,1283345.0,2814328.0,10528694.0,,,
71,Belgium,2021-08-20,,343014.0,1294752.0,2823887.0,10627738.0,,,
72,Belgium,2021-08-27,,348695.0,1302476.0,2827347.0,10699465.0,,,
73,Belgium,2021-09-03,,354544.0,1311643.0,2829758.0,10752391.0,,,
74,Belgium,2021-09-10,,359284.0,1317909.0,2830718.0,10793519.0,,,
